crowd_size,pattern_count,ground_dp,mv_dp,bayes_dp,mv_gap,bayes_gap,decision_disagreement_pattern_count,decision_disagreement_probability,mv_condition_min,bayes_condition_partial_sum_min
3,8,0.19999999999999996,0.1210351999999999,0.16199999999999998,0.07896480000000006,0.03799999999999998,4,0.16703999999999997,1.1,0.17250000000000004
5,32,0.19999999999999996,0.15062803343999998,0.20465820223999998,0.04937196655999998,0.00465820224000002,11,0.08455107065599998,1.1,0.31750000000000006
8,256,0.19999999999999996,0.16985484440102389,0.2069957626892544,0.03014515559897607,0.006995762689254448,108,0.07607007874063358,1.1,0.47640000000000005
12,4096,0.19999999999999996,0.1785102964776224,0.20070862906796272,0.021489703522377557,0.0007086290679627627,1618,0.03360342200541671,1.1,0.7924
16,65536,0.19999999999999996,0.18869717668894526,0.20026005240556888,0.0113028233110547,0.0002600524055689224,25236,0.018984189600386794,1.1,1.0669000000000002
