crowd_size,pattern_count,ground_dp,mv_dp,bayes_dp,mv_gap,bayes_gap,decision_disagreement_pattern_count,decision_disagreement_probability,mv_condition_min,bayes_condition_partial_sum_min
3,8,0.2,0.1210352,0.162,0.0789648,0.038,4,0.16704,1.1,0.1725
5,32,0.2,0.15062803344,0.20465820224,0.04937196656,0.00465820224,11,0.084551070656,1.1,0.3175
8,256,0.2,0.169854844401,0.206995762689,0.030145155599,0.006995762689,108,0.076070078741,1.1,0.4764
12,4096,0.2,0.178510296478,0.200708629068,0.021489703522,0.000708629068,1618,0.033603422005,1.1,0.7924
16,65536,0.2,0.188697176689,0.200260052406,0.011302823311,0.000260052406,25236,0.018984189600,1.1,1.0669
